folder,name,method,url,mutation_guard_required
v1/admin/amenity-type-categories,[PUT] api/v1/admin/amenity-type-categories/{amenity_type_category},PUT,{{base_url}}/api/v1/admin/amenity-type-categories/:amenity_type_category,YES
v1/admin/amenity-type-categories,[DELETE] api/v1/admin/amenity-type-categories/{amenity_type_category},DELETE,{{base_url}}/api/v1/admin/amenity-type-categories/:amenity_type_category,YES
v1/admin/amenity-types,[GET] api/v1/admin/amenity-types,GET,{{base_url}}/api/v1/admin/amenity-types,NO
v1/admin/amenity-types,[POST] api/v1/admin/amenity-types,POST,{{base_url}}/api/v1/admin/amenity-types,NO
v1/admin/amenity-types,[GET] api/v1/admin/amenity-types/{amenity_type},GET,{{base_url}}/api/v1/admin/amenity-types/:amenity_type,NO
v1/admin/amenity-types,[PUT] api/v1/admin/amenity-types/{amenity_type},PUT,{{base_url}}/api/v1/admin/amenity-types/:amenity_type,YES
v1/admin/amenity-types,[DELETE] api/v1/admin/amenity-types/{amenity_type},DELETE,{{base_url}}/api/v1/admin/amenity-types/:amenity_type,YES
v1/admin/bed-types,[GET] api/v1/admin/bed-types,GET,{{base_url}}/api/v1/admin/bed-types,NO
v1/admin/bed-types,[POST] api/v1/admin/bed-types,POST,{{base_url}}/api/v1/admin/bed-types,NO
v1/admin/bed-types,[GET] api/v1/admin/bed-types/{bed_type},GET,{{base_url}}/api/v1/admin/bed-types/:bed_type,NO
v1/admin/bed-types,[PUT] api/v1/admin/bed-types/{bed_type},PUT,{{base_url}}/api/v1/admin/bed-types/:bed_type,YES
v1/admin/bed-types,[DELETE] api/v1/admin/bed-types/{bed_type},DELETE,{{base_url}}/api/v1/admin/bed-types/:bed_type,YES
